id	parentId	type	text	options	target	signal
A2_R_PURE	A2_DEC_GAVE	reflection	What you described — giving because someone needed it, or because it was right — is the kind of contribution that builds trust without announcing itself. It's not heroic. It's just solid. Teams that run on that don't usually know how much they rely on it.		BRIDGE_2_3	axis2:contribution
A2_R_MIXED	A2_DEC_GAVE	reflection	You gave today. The motivation was mixed — reputation, habit, something else. That's completely normal. The question isn't whether the motive was pure. The question is: did the giving happen? It did. That's the thing that landed in someone else's day.		BRIDGE_2_3	axis2:contribution
A2_R_ENTITLED_HONEST	A2_DEC_NEEDED	reflection	You needed something today and didn't fully get it. That's a real gap, not a complaint. The interesting question is what you did with it — you kept going. That costs something. Worth knowing that about yourself.		BRIDGE_2_3	axis2:entitlement
A2_R_ENTITLED_WITHDREW	A2_DEC_NEEDED	reflection	When recognition didn't arrive, you pulled back. That's an honest thing to admit. It's also a pattern worth watching — because the withdrawal usually costs you more than it costs the person who didn't give you what you needed.		BRIDGE_2_3	axis2:entitlement
BRIDGE_2_3	null	bridge	Last shift. From what you gave — to who was in your mind while you were doing it.		A3_OPEN	
A3_OPEN	BRIDGE_2_3	question	When today was hardest — in the moment when you felt the most pressure or frustration — where did your mind go?	To me — my deadline, my reputation, my stress|To my team — how this was landing on them|To a specific person who was having a harder time than me|To the bigger picture — what we're all actually trying to do		
A3_DECISION	A3_OPEN	decision		answer=To me — my deadline, my reputation, my stress:A3_Q_SELF;answer=To my team — how this was landing on them|To a specific person who was having a harder time than me|To the bigger picture — what we're all actually trying to do:A3_Q_OTHER		
A3_Q_SELF	A3_DECISION	question	Being focused on yourself in a hard moment is human. Did anyone around you notice you were struggling today — or were you carrying it alone?	I kept it entirely to myself|People probably noticed, but I didn't say anything|I tried to protect the people around me from it|Someone asked, and I told them something close to the truth		axis3:selfcentric
A3_Q_OTHER	A3_DECISION	question	You said your mind went to others when things were hard. Did that awareness change anything about how you acted — or did it mostly change how you felt?	It changed what I did — I made a different call because of them|It changed how I felt, but I acted the same way I would have anyway|It made the day harder — I was carrying their load on top of mine|It made things easier — their context made my own feel smaller		axis3:altrocentric
A3_DEC_SELF	A3_Q_SELF	decision		answer=I tried to protect the people around me from it:A3_R_PROTECTIVE;answer=I kept it entirely to myself|People probably noticed, but I didn't say anything|Someone asked, and I told them something close to the truth:A3_R_SELF		
A3_DEC_OTHER	A3_Q_OTHER	decision		answer=It changed what I did — I made a different call because of them|It made things easier — their context made my own feel smaller:A3_R_TRANSCENDENT;answer=It changed how I felt, but I acted the same way I would have anyway|It made the day harder — I was carrying their load on top of mine:A3_R_AWARE		
A3_R_PROTECTIVE	A3_DEC_SELF	reflection	Absorbing difficulty so others don't have to is a quiet form of care. It often goes unnoticed. The question worth sitting with: are you protecting them because it helps — or because it means you don't have to show the struggle yourself?		SUMMARY	axis3:altrocentric
A3_R_SELF	A3_DEC_SELF	reflection	You carried today mostly internally. That takes a kind of endurance. But there's a version of this that becomes a habit — and a habit of self-containment can slowly narrow the frame until it's just you and your problem, without the context of everyone else's day around you.		SUMMARY	axis3:selfcentric
A3_R_TRANSCENDENT	A3_DEC_OTHER	reflection	Awareness of others that actually changes your behavior is rarer than it sounds. Most people feel for others and then act exactly as they would have anyway. You didn't. That gap — between noticing and doing — is where character lives.		SUMMARY	axis3:altrocentric
A3_R_AWARE	A3_DEC_OTHER	reflection	You kept others in view even when you were under pressure. It didn't change what you did, but it changed how you experienced the day — either as a burden or a frame. Both are real responses to genuinely caring about more than yourself.		SUMMARY	axis3:altrocentric
SUMMARY	null	summary	"You described today as: ""{A0_OPEN.answer}"".  On agency — {axis1.summary}  On contribution — {axis2.summary}  On radius — {axis3.summary}  Three axes. One reading. Tomorrow you get another."		END	
END	SUMMARY	end	See you tomorrow.			
